1.wav|Why are we here?
1339.wav|Then I saw the way you looked at her, that tiny smile, that softer voice, that familiar warmth you used to reserve for me.
1340.wav|You probably thought nobody noticed, but I noticed immediately.
1341.wav|I always noticed everything about you, remember?
1342.wav|Maybe that was my biggest mistake.
1343.wav|Maybe loving someone deeply just means giving them the power to destroy you slowly.
1344.wav|I tried acting mature about the whole thing instead of becoming emotional in front of everyone.
1345.wav|I smiled.
1346.wav|I laughed.
1347.wav|I pretended I was fine, but every fake smile felt heavier than the last one until even breathing started feeling exhausting.
1348.wav|I'm tired.
1349.wav|Not physically tired, but emotionally exhausted in a way sleep cannot fix anymore.
1350.wav|It feels like carrying invisible weight inside my chest every single day.
1351.wav|Some mornings I wake up and immediately wish I could skip the entire day altogether.
1352.wav|But don't misunderstand me.
1353.wav|I'm still trying, even now.
1354.wav|I'm still trying to rebuild myself piece by piece.
1355.wav|Do you know how exhausting it is to start over emotionally after giving someone your entire heart?
1356.wav|Do you know what it feels like to stop yourself from checking your phone every five minutes, hoping for a message that never arrives?
1357.wav|It's humiliating and somehow addictive at the same time.
1358.wav|I miss you most during random little moments that shouldn't even matter this much, whenever something funny happens.
1359.wav|My first instinct is still to turn toward you before reality hits me again.
1360.wav|Isn't that pathetic?
1361.wav|My brain still reaches for someone who is no longer here.
1362.wav|Sometimes I wonder if I ever cross your mind unexpectedly during ordinary moments.
1363.wav|Like while you're waiting in traffic?
1364.wav|Or standing in line at some random store?
1365.wav|Or lying awake at night, unable to sleep?
1366.wav|Do you ever miss me too?
1367.wav|Or was I only important while I was convenient for you?
1368.wav|Because to me, you felt permanent.
1369.wav|You felt like home.
1370.wav|And maybe that's why losing you feels like losing part of myself too.
1371.wav|I built entire futures around small promises you probably forgot seconds after saying them.
1372.wav|I remembered everything about you, your favorite drink order, the songs you always skipped halfway through,
1373.wav|The way your voice changed whenever you were exhausted or upset.
1374.wav|I paid attention to every little detail because loving you became automatic for me.
1375.wav|People always describe deep love as beautiful and romantic,
1376.wav|But nobody talks about how terrifying it becomes when things fall apart.
1377.wav|Sometimes loving someone too much feels less like flying and more like drowning slowly.
1378.wav|And honestly, if you walked through that door right now, I don't even know what I would do anymore.
1379.wav|Part of me would want to scream at you for everything you put me through.
1380.wav|Another part of me would probably collapse into your arms without thinking twice.
1381.wav|That's what scares me the most.
1382.wav|I want to be stronger than this.
1383.wav|I want to hear your name without feeling my chest tighten painfully.
1384.wav|I want to stop turning old memories into evidence while trying to figure out whether you ever truly loved me at all.
1385.wav|But healing isn't simple, is it?
1386.wav|Some days, I feel completely fine.
1387.wav|Then suddenly one song ruins everything again.
1388.wav|Today is one of those days.
1389.wav|I accidentally wore the sweater you once said looked beautiful on me and somehow that tiny detail destroyed my mood instantly.
1390.wav|Why am I still holding on to things connected to you?
1391.wav|Maybe part of me still wants to feel loved the way you once made me feel.
1392.wav|Or maybe I just miss the version of myself that existed before everything became complicated.
1393.wav|She seemed happier, lighter, less afraid of abandonment and disappointment.
1394.wav|I miss her almost as much as I miss you.
1395.wav|But I know she's not gone forever.
1396.wav|She's buried underneath heartbreak.
1397.wav|anxiety, sleepless nights, and memories that still refuse to leave me alone.
1398.wav|And one day, maybe not today, and maybe not soon, I know I'll finally stop measuring my worth based on who decided to stay.
1399.wav|One day your name won't hurt anymore.
1400.wav|One day these memories will feel distant instead of suffocating.
1401.wav|One day, I'll tell this story without my voice shaking halfway through it, but today, today it still hurts.
1402.wav|Why are you staring, darling?
1403.wav|You're embarrassing me.
1404.wav|Today felt like one of those mornings where everything seemed a little brighter than usual.
1405.wav|The sunlight poured through the window and instead of wanting to stay in bed, I felt excited to get up and see what the day would bring.
1406.wav|Have you ever had one of those days where you wake up and immediately think, something good is going to happen today?
1407.wav|I do not know why, but that thought was the first thing that came to mind.
1408.wav|I stretched, looked around my room, and smiled for no particular reason.
1409.wav|Sometimes happiness arrives without a clear explanation, does it not?
1410.wav|It is almost like finding money in a jacket pocket you forgot about.
1411.wav|The feeling is small, but it can completely change your mood.
1412.wav|As I got ready, I started thinking about all the things I wanted to do.
1413.wav|There were goals I had been putting off.
1414.wav|Books I wanted to read, places I wanted to visit, and skills I wanted to learn.
1415.wav|The list felt long, but instead of feeling overwhelmed, I felt energized.
1416.wav|Why spend so much time worrying about what might go wrong when there's so much that could go right?
1417.wav|I walked outside and immediately noticed how beautiful the sky looked.
1418.wav|The clouds drifted slowly, the breeze felt refreshing, and everything seemed full of life.
1419.wav|Have you ever looked at the sky and wondered how many people are looking at the exact same thing at that exact moment?
1420.wav|It is a strange thought, but I love it.
1421.wav|As I continued walking, I noticed people going about their day.
1422.wav|Some looked busy, some looked relaxed, and some looked like they were still waking up.
1423.wav|I found myself wondering what exciting things might happen to them today.
1424.wav|Maybe someone was heading to their first day at a new job.
1425.wav|Maybe someone was about to receive good news.
1426.wav|Maybe someone was about to meet a person who would change their life forever.
1427.wav|The possibilities made me smile.
1428.wav|I passed a small cafe and caught the smell of fresh coffee.
1429.wav|It smelled amazing.
1430.wav|Have you ever smelled something that instantly improved your mood?
1431.wav|It is incredible how powerful simple things can be.
1432.wav|A familiar song, a favorite meal, a warm drink, or even a kind word can completely change the direction of a day.
1433.wav|That reminded me of something important.
1434.wav|Why do we sometimes underestimate small moments?
1435.wav|We often wait for huge achievements to celebrate.
1436.wav|But what about the little victories?
1437.wav|Getting out of bed when you do not feel like it is a victory.
1438.wav|Finishing a difficult task is a victory.
1439.wav|Learning something new is a victory.
1440.wav|Even making someone laugh can be a victory.
1441.wav|The more I thought about it, the more excited I became.
1442.wav|I started imagining all the things I still wanted to accomplish.
1443.wav|There were so many possibilities ahead.
1444.wav|New experiences, new friendships, new opportunities, and new adventures.
1445.wav|The future can be uncertain, but is that not part of what makes it exciting?
1446.wav|If we already knew exactly what would happen, where would the surprise be?
1447.wav|At one point, I saw a child laughing while chasing bubbles through the air.
1448.wav|The sight made me laugh too.
1449.wav|There was something so genuine about that happiness.
1450.wav|No worries about tomorrow, no concerns about yesterday, just pure enjoyment of the moment.
1451.wav|When was the last time I allowed myself to enjoy something that completely, that question stayed with me.
1452.wav|As the day continued, I felt motivated to try things I had been avoiding.
1453.wav|Why wait for the perfect moment?
1454.wav|What if the perfect moment never arrives?
1455.wav|Sometimes progress begins the moment we decide to start, even if conditions are not ideal.
1456.wav|I thought about all the times I doubted myself.
1457.wav|Looking back, many of those worries never became reality.
1458.wav|Have you ever spent days worrying about something only to realize later that everything turned out fine?
1459.wav|It happens more often than we think.
1460.wav|That realization felt freeing.
1461.wav|I decided that today was a good day to be optimistic.
1462.wav|Not because everything was perfect, but because there was still so much to look forward to.
1463.wav|There are books I have not read yet, places I have not visited yet, skills I have not learned yet, people I have not met yet.
1464.wav|How exciting is that?
1465.wav|The world suddenly felt much larger.
1466.wav|Later, I heard a song I had not listened to in years.
1467.wav|Instantly, memories came rushing back.
1468.wav|It is amazing how music can do that, is it not?
1469.wav|One melody and suddenly you are transported to a completely different time in your life.
1470.wav|Instead of feeling nostalgic, I felt grateful.
1471.wav|Grateful for the experiences.
1472.wav|Grateful for the memories.
1473.wav|Grateful for the lessons.
1474.wav|Grateful for the people.
1475.wav|Most of all, grateful for the opportunity to keep creating new memories.
1476.wav|As evening approached, I realized something.
1477.wav|There will always be challenges.
1478.wav|There will always be mistakes.
1479.wav|There will always be moments that do not go according to plan.
1480.wav|But there will also be laughter.
1481.wav|There will also be discoveries.
1482.wav|There will also be friendships.
1483.wav|There will also be achievements.
1484.wav|There will also be unexpected moments that make everything feel worthwhile.
1485.wav|Why focus only on the difficult parts when life contains so many wonderful possibilities?
1486.wav|The stars began appearing one by one and I found myself looking up again.
1487.wav|The universe felt enormous, mysterious, and full of unanswered questions.
1488.wav|Normally that might feel intimidating, but today it felt exciting.
1489.wav|How many incredible things are waiting to happen?
1490.wav|How many opportunities are still ahead?
1491.wav|How many people will I meet?
1492.wav|How many places will I see?
1493.wav|How many stories have not been written yet?
1494.wav|I do not know the answers.
1495.wav|And honestly, that makes me even more excited.
1496.wav|The future is not a wall.
1497.wav|It is a doorway.
1498.wav|Every day is another chance to learn something, create something, improve something, or experience something completely unexpected.
1499.wav|What could be more exciting than that?
1500.wav|So I ended the day with a smile.
1501.wav|Not because everything was perfect.
1502.wav|Not because I had all the answers.
1503.wav|Not because every goal had been achieved.
1504.wav|I smiled because tomorrow exists.
1505.wav|Tomorrow holds possibilities.
1506.wav|Tomorrow holds surprises.
1507.wav|Tomorrow holds opportunities.
1508.wav|Tomorrow holds adventures I cannot even imagine yet.
1509.wav|And as I closed my eyes, one final thought crossed my mind.
1510.wav|What wonderful thing might happen next?
1511.wav|Well, I kind of have a thing for guys under a billion years old.
1512.wav|I know, I know.
1513.wav|I'm such a cradle robber.
1514.wav|Wait, no way.
1515.wav|Is this happening again?
1516.wav|Are you kidding me right now?
1517.wav|This is actually insane.
1518.wav|Why is this so exciting?
1519.wav|Can you believe what just happened?
1520.wav|Is that even possible?
1521.wav|What just changed?
1522.wav|Are we seeing this correctly?
1523.wav|Wait, hold on.
1524.wav|What?
1525.wav|Did that really just work again?
1526.wav|Is it getting better?
1527.wav|Why does this feel unreal again?
1528.wav|Are we allowed to be this excited?
1529.wav|What is going on here?
1530.wav|Is this some kind of magic?
1531.wav|Can it really do that?
1532.wav|Wait, wait, wait, did you expect that?
1533.wav|How is this happening?
1534.wav|Is it supposed to be this fun?
1535.wav|Why can't I stop smiling?
1536.wav|Are we actually doing this right?
1537.wav|Is there even more?
1538.wav|What comes next?
1539.wav|Do you see that too?
1540.wav|Is it just me or is this crazy?
1541.wav|Why does everything feel so fast?
1542.wav|Are we moving too quickly or is this perfect?
1543.wav|Wait, did that just upgrade?
1544.wav|Is this getting cooler?
1545.wav|Can it go even further?
1546.wav|What if it never stops?
1547.wav|Are we stuck in excitement?
1548.wav|Is this what hype feels like?
1549.wav|Why is my heart going so fast?
1550.wav|Can we slow down or not?
1551.wav|Is slowing down even an option?
1552.wav|What if it keeps escalating?
1553.wav|Are we ready for that?
1554.wav|Did that just get better again?
1555.wav|Is this the peak or just the start?
1556.wav|Why does every moment feel huge?
1557.wav|Can something top this?
1558.wav|Are we witnessing something special?
1559.wav|Is this a rare moment?
1560.wav|Wait, should we react louder?
1561.wav|Is that allowed?
1562.wav|What if we celebrate too much or not enough?
1563.wav|Why does everything feel so alive?
1564.wav|Are we even prepared for what's next?
1565.wav|Is this real excitement or what?
1566.wav|What?
1567.wav|I'll do it next time.
1568.wav|Maybe when the stars realign in a thousand years or so.
1569.wav|What Necronomicon is bright pink, silly?
1570.wav|This is us time.
1571.wav|If you mention another woman one more time, this date is over.
1572.wav|And I'll save you for last.
1573.wav|That Mu.
1574.wav|Always trying to set me up with someone.
1575.wav|Aw, poor thing.
1576.wav|Do you need me to spoil you a little?
1577.wav|As encouragement.
1578.wav|Send me back.
1579.wav|Mm-hmm.
1580.wav|It's full of rituals that I like.
1581.wav|Offerings, spells, and how to protect your sanity while performing them.
1582.wav|Worcestershire sauce?
1583.wav|How are you holding up, darling?
1584.wav|What's with the worried look, darling?
1585.wav|Anything.
1586.wav|Toy boat, toy boat, toy boat, toy boat, toy boat, toy boat, toy boat, toy boat, toy boat, toy boat.
1587.wav|For dating me.
1588.wav|Of course.
1589.wav|Though, me being single now kind of tells you all you need to know about how those relationships went.
1590.wav|If you can make it to the end, darling!
